update,episodes,rollout_steps,mean_cost,mean_reward,mean_decisions,mean_branches,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,fixed_greedy_cost,elapsed_seconds
1,16,105,34.9286495171396,-34.9286495171396,6.5625,3.726686507936508,0.012719866150291637,607.4701232910156,1.0842426270246506,1.7079945173748001e-06,0.0,16.84955592153876,0.4423464999999851
2,32,98,40.042587120072376,-40.042587120072376,6.125,4.391121031746032,-0.006163240293972194,541.3589477539062,1.108350396156311,1.7167835686393573e-06,0.0,16.84955592153876,0.8606331000337377
3,48,95,32.71377107350981,-32.71377107350981,5.9375,3.6180307539682537,0.00542576820589602,344.93545722961426,1.037386104464531,3.1737745675997076e-06,0.0,8.283185307179586,1.279398599988781
4,64,109,39.19634859883832,-39.19634859883832,6.8125,4.367361111111111,-0.01544175180606544,468.3510971069336,1.1058459132909775,4.318666986691255e-06,0.0,8.283185307179586,1.8792777999769896
5,80,95,37.29231051304514,-37.29231051304514,5.9375,4.965816648629149,0.001416888553649187,496.2763862609863,1.1828053444623947,8.899725880695541e-06,0.0,8.283185307179586,2.3938552000327036
6,96,108,31.19358252856599,-31.19358252856599,6.75,4.0086737914862915,-0.004253509920090437,230.61028671264648,1.0636464282870293,1.3534424404326728e-05,0.0,8.283185307179586,2.843302399967797
7,112,83,30.150717859455344,-30.150717859455344,5.1875,4.2151289682539685,-0.05788115062750876,250.44538116455078,1.081606686115265,1.9682381392271964e-05,0.0,8.283185307179586,3.2022877000272274
8,128,112,49.334898575128555,-49.334898575128555,7,4.120659722222222,0.00110813754145056,518.8691101074219,1.0816019922494888,2.609356355520731e-05,0.0,8.283185307179586,3.6695432000560686
9,144,105,36.89546326794897,-36.89546326794897,6.5625,3.8481646825396827,-0.007649734383448958,314.6568298339844,1.0658186078071594,5.1466994591464754e-05,0.0,0.42920367320510344,4.107074800063856
10,160,102,37.0124435481813,-37.0124435481813,6.375,4.514829094516594,-0.022673326660878956,323.83300018310547,1.1226345896720886,0.000273087911523362,0.0,0.42920367320510344,4.525918900035322
11,176,98,34.00304079327748,-34.00304079327748,6.125,3.770262896825397,-0.03391594369895756,347.2967014312744,1.0833423286676407,0.00019836534420392127,0.0,0.42920367320510344,4.925098199979402
12,192,91,30.918970155208534,-30.918970155208534,5.6875,4.701785714285714,0.027342660818248987,255.7213315963745,1.1209453344345093,0.0003755581626592175,0.0,2.146018366025517,5.319483699975535
13,208,89,31.048394925633218,-31.048394925633218,5.5625,4.361259920634921,0.020008220802992582,240.11772918701172,1.1607969552278519,0.0007074744357851159,0.006953124888241291,2.146018366025517,5.71133069996722
14,224,92,29.06166923690726,-29.06166923690726,5.75,4.205952380952381,-0.019136093324050307,296.0110454559326,1.0634320601820946,0.0011493653498746426,0.008928571827709675,0.42920367320510344,6.103077600011602
15,240,86,26.41316234964769,-26.41316234964769,5.375,4.1683779761904765,0.007660586852580309,237.9887523651123,1.1407471150159836,0.0015129456123759155,0.009588068351149559,0.42920367320510344,6.462024800013751
